nation,"sugar (daily grams per capita, 2015)","fat (daily grams per capita, 2015)",population (2015),continent
United States,126.4,65.5,321419000,North America
Germany,102.9,86.5,81413000,Europe
Netherlands,102.5,80.4,16937000,Europe
Ireland,96.7,65,4641000,Europe
Australia,95.6,60.9,23781000,Oceania
Belgium,95,95,11286000,Europe
United Kingdom,93.2,71,65138000,Europe
Mexico,92.5,64,127017000,North America
Finland,91.5,80.8,5482000,Europe
Canada,89.1,59.7,35852000,North America
Austria,88.1,71.8,8611000,Europe
Sweden,86.1,80.3,9799000,Europe
Norway,83.1,73.5,5196000,Europe
New Zealand,82.9,60.4,4596000,Oceania
